title,nb_avis,notes_moyennes,note_max,note_min,ecart-type,nb_commentaires
Machi Koro Legacy,8,7.0,10.0,4.0,1.7320508075688772,8
Apogee,3,6.0,10.0,4.0,2.8284271247461903,3
Clank! Legacy: Acquisitions Incorporated.,15,9.266666666666667,10.0,7.0,0.8537498983243799,15
Mascarade - édition 2021,15,7.466666666666667,10.0,6.0,1.2036980056845192,15
Panic In The Air,5,8.2,10.0,7.0,1.16619037896906,5
Level 8 Super Mario,8,7.375,10.0,2.0,2.6427968139832467,8
Caverna,20,8.3,10.0,3.0,1.7349351572897473,20
Rescue Polar Bears: Data & Temperature,6,8.333333333333334,10.0,7.0,0.9428090415820634,6
Géants stupides,1,8.0,8.0,8.0,0.0,1
CRIMEXPRESS - Mort à Sacinay,2,9.0,9.0,9.0,0.0,2
Crazy Theory,15,7.733333333333333,10.0,3.0,2.174600857373345,15
Small World of Warcraft,29,7.896551724137931,10.0,3.0,1.4466328940277953,29
Dreamscape,60,8.5,10.0,2.0,1.5968719422671311,60
"Jeanne d'Arc, la bataille d'Orléans",2,8.0,8.0,8.0,0.0,2
Torpedo Dice,2,7.5,8.0,7.0,0.5,2
Pitch Out,14,8.0,10.0,7.0,1.0690449676496976,14
Sherlock Holmes Détective Conseil : les Francs-tireurs de Baker Street,11,8.818181818181818,10.0,6.0,1.113404428537808,11
KAMI,31,7.774193548387097,10.0,2.0,2.2534515092352234,31
Little Battle,8,8.25,10.0,6.0,1.299038105676658,8
Cryptide,80,8.3375,10.0,4.0,1.3223440361721308,80
It's a Wonderful World,150,8.02,10.0,0.0,2.0703300864032936,150
The Last Bottle of Rum,15,5.533333333333333,8.0,3.0,2.0612833111653743,15
Turbulences,15,9.066666666666666,10.0,7.0,0.9285592184789414,15
"Zerzura, L’Oasis des Merveilles",5,7.6,10.0,6.0,1.3564659966250536,5
L'Ordre de Veiel,6,8.0,10.0,6.0,1.2909944487358056,6
Les Châteaux de Bourgogne - Deluxe,41,8.609756097560975,10.0,4.0,1.3043650689874091,41
Paris: New Eden,11,6.545454545454546,10.0,3.0,2.01646118298353,11
Yggdrasil Chronicles,13,8.923076923076923,10.0,6.0,1.2686478848054341,13
Reflets d'Acide,8,8.5,10.0,7.0,1.118033988749895,8
Glen More II : Chronicles,19,8.31578947368421,10.0,2.0,1.8368345649068578,19
Mini Miners,1,6.0,6.0,6.0,0.0,1
Endeavor : L'âge de la voile (VF),30,9.033333333333333,10.0,1.0,1.702612371882951,30
Quartermaster General - 2ème édition,5,8.6,10.0,7.0,1.019803902718557,5
De Vulgari Eloquentia Deluxe Edition,3,7.333333333333333,8.0,7.0,0.4714045207910317,3
Jaipur,97,8.24742268041237,10.0,4.0,1.065203410564081,97
