author,nb_avis,notes_moyennes,ecart-type,nb_commentaires
pitchounet,10,7.2,1.6,10
Shingooz,14,7.571428571428571,1.720227796970328,14
reutch,5,8.4,0.7999999999999999,5
Barracuda,9,8.0,2.98142396999972,9
Dornano67,9,7.555555555555555,1.8324913891634047,9
Cartoman,10,7.4,2.973213749463701,10
balnavette,8,7.75,1.5612494995995996,8
Zooboo,5,6.0,2.5298221281347035,5
maxpouliot,3,8.666666666666666,0.9428090415820634,3
yacha,3,6.0,2.8284271247461903,3
magou,6,7.666666666666667,1.3743685418725535,6
macfly49,1,8.0,0.0,1
CristoFire-Ice,1,10.0,0.0,1
sebby,2,9.0,1.0,2
petite reine,1,10.0,0.0,1
Archi,1,10.0,0.0,1
Prof Sapiens,2,10.0,0.0,2
Mastok,1,0.0,0.0,1
Xr4y,10,8.3,1.0049875621120887,10
Linoa1110,4,7.25,0.4330127018922193,4
Tazhal,7,8.142857142857142,1.4568627181693672,7
Maïna,5,7.8,1.939071942966532,5
Blackasanova,1,8.0,0.0,1
palindrome,1,10.0,0.0,1
cestparti,1,8.0,0.0,1
Tutur,2,8.5,0.5,2
squidounette,1,10.0,0.0,1
Ludovide,1,7.0,0.0,1
casanours,1,10.0,0.0,1
sword0,1,9.0,0.0,1
pugip,1,9.0,0.0,1
Xzaraa,1,10.0,0.0,1
Eminence Grise,10,8.2,1.077032961426901,10
Pulov,4,6.75,1.299038105676658,4
kalahorn,1,4.0,0.0,1
mcazaux,1,10.0,0.0,1
Rob1desbois,12,8.833333333333334,0.9860132971832694,12
Budala,3,9.0,0.816496580927726,3
Sinn,1,9.0,0.0,1
Jaune,8,7.875,2.1469455046647083,8
mimi676,5,8.2,1.1661903789690602,5
Wawan,1,10.0,0.0,1
Manu74,4,9.0,1.224744871391589,4
Kssy89,1,8.0,0.0,1
fanfanloup302,5,8.0,1.095445115010332,5
Carbo20,1,8.0,0.0,1
Ozora,1,10.0,0.0,1
Antho53,1,10.0,0.0,1
yudge,2,9.0,0.0,2
llandau,3,7.666666666666667,1.8856180831641267,3
Jul77,2,9.0,1.0,2
Erestor,19,9.0,1.1239029738980326,19
Potife,11,8.727272727272727,0.9620913858416692,11
Gulix,3,9.0,0.816496580927726,3
INOX,4,8.5,1.118033988749895,4
sebczech,1,7.0,0.0,1
MajorDOOM,1,10.0,0.0,1
Wint,5,7.0,2.3664319132398464,5
Julien5929,1,8.0,0.0,1
eldrmozz,2,7.5,2.5,2
Titecaro,2,7.5,0.5,2
Valistory,10,7.6,2.576819745345025,10
Ricoco92,18,7.055555555555555,1.7786456215091246,18
3dman91,1,5.0,0.0,1
hanakana,1,10.0,0.0,1
Imperator Furiosa,1,9.0,0.0,1
homere5,13,7.3076923076923075,2.232095096699524,13
powlin,6,6.5,1.5,6
alekshan,3,8.333333333333334,0.9428090415820634,3
jexbe,2,8.0,1.0,2
melodron,2,8.0,0.0,2
tom78220,2,8.5,1.5,2
Xandrae,1,10.0,0.0,1
Tehk,1,8.0,0.0,1
ClMud,1,0.0,0.0,1
Folzoqua,1,9.0,0.0,1
Namako,1,6.0,0.0,1
julienboys,1,3.0,0.0,1
Ludenfernal,1,8.0,0.0,1
Lcdjeux,1,7.0,0.0,1
Villsjel,1,8.0,0.0,1
snebout,6,8.0,0.5773502691896257,6
Richiardi49,3,9.333333333333334,0.9428090415820634,3
Jalna6,5,8.4,1.743559577416269,5
JihemB,2,5.5,4.5,2
rosenrot,6,9.333333333333334,0.7453559924999299,6
Saikyo,1,1.0,0.0,1
Lami,2,8.5,0.5,2
Arthau,2,8.5,0.5,2
Rigcy Beleh,4,9.25,0.4330127018922193,4
bendorak,2,10.0,0.0,2
Montcalm10,2,10.0,0.0,2
Gnondpomm,1,10.0,0.0,1
man in the box,5,7.2,3.249615361854384,5
Luis,1,10.0,0.0,1
epaulard69,2,6.0,3.0,2
Azelius,1,8.0,0.0,1
gobgob,1,10.0,0.0,1
Grandslough,1,5.0,0.0,1
Remisa,60,6.166666666666667,1.827262676488766,60
swat,7,6.714285714285714,2.1852940772540506,7
urdan8465,1,10.0,0.0,1
Jny85,1,5.0,0.0,1
yodjo85,1,8.0,0.0,1
Ruddy,4,8.25,0.82915619758885,4
Fëanor,1,10.0,0.0,1
Plateosaurus,1,10.0,0.0,1
Rianne,2,8.5,1.5,2
Y2J57,11,9.727272727272728,0.616575453011388,11
Kzergioz,2,8.5,0.5,2
Frocpoilu,2,10.0,0.0,2
Jets de dés,1,10.0,0.0,1
minimarion,2,9.0,0.0,2
Kohqow,1,8.0,0.0,1
Pegasinette,2,4.0,3.0,2
Nizalea,2,8.0,0.0,2
Glafail,3,8.333333333333334,0.4714045207910317,3
Asimov101,4,5.5,2.958039891549808,4
dritzz190,2,8.0,1.0,2
Alwen319,4,8.75,0.82915619758885,4
paullenavire,1,9.0,0.0,1
cchhrriisstt,1,7.0,0.0,1
remi40k,57,6.526315789473684,2.4502435479226663,57
Tibiscui,60,6.966666666666667,2.20580043420876,60
Martianlegacy,17,7.9411764705882355,2.127428390591191,17
Rosti,19,7.263157894736842,2.0734437477465484,19
Warp,19,7.368421052631579,2.3443218369810626,19
Petitbabe,17,6.588235294117647,1.4974025954538654,17
Tilion,10,7.8,1.661324772583615,10
Zangdar,2,9.0,1.0,2
Clétopard,7,8.142857142857142,1.124858267715973,7
Bodhi,6,5.333333333333333,3.39934634239519,6
